Problem Statement,Vehicle Type,Category,Solution,,,
I am experiencing rough patches in my car,Car,Engine,Check and clean the idle air control valve. Inspect for vacuum leaks and replace the air filter. Consult a mechanic for further diagnosis.,,,
My bicycle is experiencing problem in pedal,Bicycle,Transmission System,Check pedal bearings and lubricate. Inspect the crankset for wear. Replace or service components as needed.,,,
My car's power mirrors are not adjusting,Car,Electrical System,Check the mirror switch,,,
I am having trouble with my hybrid bike's electric assist not working,Bike,Electrical System,Check the battery charge,,,
My car's exhaust emits a strong odor of fuel,Car,Exhaust System,Check for fuel leaks in the fuel system,,,
I am experiencing a vibration in the brake pedal of my car,Car,Braking System,Inspect brake rotors for warping,,,
My bike's handlebars are loose and I am having difficulty steering,Bike,Steering System,Check for bearings fault.,,,
My car's side airbags did not deploy in a collision,Car,Safety System,Inspect the airbag system sensors,,,
I am dealing with an unusual noise from my car's wheel bearings,Car,Wheel and Tire System,Check for worn-out wheel bearings,,,
My scooter's engine is overheating  and I am experiencing power loss,Bike,Engine,Check for fluif leakage.,,,
My car's key is stuck in the ignition and won't turn,Car,Electrical System,Check for a faulty ignition switch,,,
I am having difficulty shifting gears on my mountain bike,Bike,Transmission System,Adjust derailleur indexing,,,
My car's windshield wipers are not returning to the rest position,Car,Electrical System,Inspect the wiper linkage and motor,,,
I am experiencing a loss of power in my electric bike's motor,Bike,Electrical System,Check the battery charge,,,
My car's power steering fluid is leaking,Car,Steering System,Identify and fix the source of the leak,,,
I am having trouble with my commuter bike's lights flickering,Bike,Electrical System,Check the battery charge,,,
My car's sunroof is not opening,Car,Body and Interior,Inspect the sunroof motor,,,
I am experiencing a squeaking noise from my car's suspension,Bike,Suspension System,Inspect and lubricate suspension components,,,
My dirt bike's exhaust is emitting excessive smoke,Bike,Exhaust System,Check for oil leaks in the engine,,,
My car's steering feels loose  and I am having difficulty controlling the vehicle,Car,Steering System,Adjust the steering wheel.,,,
I am having difficulty starting my car after it has been sitting for a while,Car,Engine,Check the battery,,,
My cruiser bike's tires are wearing unevenly,Bike,Wheel and Tire System,Check tire pressure,,,
My car's transmission is making a whining noise,Car,Transmission System,Check transmission fluid levels,,,
I am experiencing difficulty with my road bike's pedal clips,Bike,Frame and Components,Adjust pedal clip tension,,,
My car's door is making a creaking noise when opened,Car,Body and Interior,Inspect door hinges,,,
I am having issues with my electric scooter's battery not holding a charge,Bike,Electrical System,Check the battery connections,,,
My car's engine is misfiring intermittently,Car,Engine,Check spark plugs,,,
I am experiencing a clicking noise from my car's wheels when turning,Car,Wheel and Tire System,Check for worn-out CV joints or wheel bearings,,,
My touring bike's pedals are making a grinding noise,Bike,Transmission System,Lubricate pedal bearings,,,
My car's hood is not closing properly,Car,Body and Interior,Inspect the hood latch,,,
I am experiencing a high-pitched squeal from my car's brakes,Car,Braking System,Inspect for brake pad contamination,,,
My electric bike's motor is not engaging and I am unable to accelerate,Bike,Electrical System,"Check the battery charge, inspect electrical connections, and test the motor controller. Consult an electric bike specialist for further diagnosis.",,,
My car's airbag warning light is dim,Car,Safety System,Check the airbag system for fault codes,,,
I am having trouble with my downhill bike's rear shock bottoming out,Bike,Suspension System,Adjust rear shock settings,,,
My car's exhaust is producing a rattling noise,Car,Exhaust System,Inspect for loose or damaged components,,,
I am experiencing a lack of power in my car's acceleration,Car,Engine,Check for clogged air filters,,,
My folding bike's frame is not locking securely,Bike,Frame and Components,Inspect the frame latch mechanism,,,
My car's power windows are operating intermittently,Car,Electrical System,Check the window switches,,,
I am having difficulty with my cruiser bike's handlebars being misaligned,Bike,Steering System,Tighten stem bolts,,,
My car's fuel gauge is reading inaccurately,Car,Electrical System,Inspect the fuel sending unit,,,
I am experiencing a frequent vibration in the steering wheel of my car,Car,Steering System,Check wheel balance,,,
My road bike's chain is dropping between gears,Bike,Transmission System,Adjust derailleur indexing,,,
My car's automatic transmission is delayed in shifting gears,Car,Transmission System,Check transmission fluid levels,,,
I am dealing with a clicking noise from my car's suspension when going over bumps,Car,Suspension System,Inspect for loose or damaged components,,,
My electric scooter is not holding a charge  and I am experiencing a decrease in range,Bike,Electrical System,Electrical System,,,
My car's brake pedal feels soft  and there is a decrease in braking performance,Car,Braking System,"Bleed the brake system to remove air bubbles, inspect for brake fluid leaks, and replace brake fluid if necessary",,,
I am having trouble with my touring bike's gears not engaging smoothly,Bike,Transmission System,Adjust derailleur indexing,,,
My car's engine is producing a clicking noise during startup,Car,Engine,Check for issues with the starter motor,,,
I am experiencing a high-pitched whining noise from my car's engine,Bike,Engine,Check for issues with the alternator,,,
My mountain bike's suspension fork is leaking oil,Bike,Suspension System,Inspect for damaged seals,,,
My car's headlights are dim  and there is a decrease in braking performance,Car,Electrical System,"Check for issues with the alternator, inspect the headlight bulbs, and test the battery. Consult a mechanic for further diagnosis.",,,
I am having difficulty with my dirt bike's kickstart mechanism,Bike,Engine,Inspect the kickstart lever,,,
My car's door locks are making a grinding noise when operating,Car,Body and Interior,Inspect the door lock actuators,,,
I am experiencing a vibration in the pedals of my electric bike,Bike,Transmission System,Check for issues with the motor,,,
My car's steering wheel is off-center  and the vehicle pulls to one side,Car,Steering System,"Check wheel alignment, inspect for damage to steering components, and ensure proper tire pressure",,,
I am having trouble with my commuter bike's bell not working,Bike,Electrical System,Inspect the bell switch,,,
My car's brake pedal pulsates when applying brakes,Car,Braking System,Inspect brake rotors for warping,,,
I am experiencing a rattling noise from my car's exhaust system,Bike,Exhaust System,Inspect for loose or damaged components,,,
My road bike's handlebars are slipping  and I am having difficulty keeping them in place,Bike,Steering System,"Tighten handlebar and stem bolts, check for wear on the handlebar or stem, and ensure proper alignment",,,
My car's key fob is not unlocking the doors,Car,Electrical System,Check the key fob battery,,,
I am having trouble with my electric scooter's brakes not engaging properly,Bike,Braking System,Inspect for brake pad contamination,,,
My car's windshield washer fluid is not spraying,Car,Electrical System,Check washer fluid levels,,,
I am experiencing a grinding noise from my mountain bike's bottom bracket,Bike,Transmission System,Inspect the bottom bracket,,,
My car's suspension is making a creaking noise when turning,Bike,Suspension System,Inspect for loose or damaged components,,,
My hybrid bike's electric assist is cutting out intermittently,Bike,Electrical System,Check the battery charge,,,
My car's fuel door won't open and I am unable to refuel,Car,Body and Interior,"Inspect the fuel door latch, check for misalignment, and adjust or replace the latch mechanism as needed.",,,
I am having trouble with my downhill bike's rear suspension feeling too soft,Bike,Suspension System,Adjust rear shock settings,,,
My car's key is not unlocking the doors,Car,Electrical System,Inspect for loose or damaged components.,,,
I am having trouble with horn,Car,Electrical System,Check horn fuse.,,,
My car emits a burning smell from the engine.,Car,Engine,"Check for oil or coolant leaks, inspect the belts and hoses for wear, and visit a mechanic for a comprehensive engine examination.",,,
Broken spokes,Car,Wheel,Replace the broken spoke,,,
My bike have more racing power,Bike,Acceleration,Check the racing switch,,,
I am experiencing a noise from bike,Bike,Transmission System,Inspect the bottom bracket,,,
I am experiencing a noise from car,Car,Engine,Check for issues with the starter motor,,,
My car's engine is overheating,Car,Cooling System,Check for coolant system,,,
My car's battery is not holding charge,Car,Electrical System,Check battery connections and charging system. Replace battery if necessary.,,,
My bike's battery is not holding charge,Bike,Electrical System,Check battery connections and charging system. Replace battery if necessary.,,,
I am having difficulty in shifting my car gears.,Car,Transmission System,Check clutch cable and gear linkage. Adjust or replace as necessary.,,,
My bike suspension feels bumpy,Bike,Suspension System,"Inspect shocks, struts, and suspension components for wear or damage. Replace if necessary.",,,
My headlight is not working.,Bike,Electrical System,"Check headlight bulbs, fuses, and wiring connections. Replace bulbs if necessary.",,,
My bike handle feel loose,Bike,Steering System,Tighten handlebar clamps and check for worn or damaged components.,,,
My car ac blows warm air,Car,HVAC System,Check for refrigerant level and compression operation.,,,
Bike exhaust emits black smoke,Bike,Exhaust System,Check air filter and carburetor.,,,
My ac is not working,Car,HVAC System,Check for refrigerant level and compression operation.,,,
My car's transmission slips between gears,Car,Transmission System,Check transmission fluid level and condition. Replace worn transmission components.,,,
Car's engine emits strange noises,Engine,Car,Check engine oil level and quality. Inspect belts and pulleys for wear.,,,
Bike's brakes squeak when applied,Brakes,Bike,Clean brake pads and rotors. Apply brake lubricant.,,,
Car's transmission slips between gears,Transmission,Car,Check transmission fluid level and condition. Replace worn transmission components.,,,
Bike's engine stalls at idle,Engine,Bike,Adjust idle speed and clean carburetor. Check for air leaks in the intake system.,,,
Car's air conditioning produces foul odor,HVAC,Car,Replace cabin air filter and clean air conditioning evaporator.,,,
Bike's chain stretches quickly,Maintenance,Bike,Replace chain tensioner and adjust chain tension regularly.,,,
Car's brakes feel soft,Brakes,Car,Check brake fluid level and brake lines for leaks. Bleed brake system and replace fluid if needed.,,,
Bike's gears grind when shifting,Transmission,Bike,Adjust gear shift cables and check transmission oil level. Replace worn gear components if necessary.,,,
Car's headlights are dim,Electrical,Car,Clean headlight lenses and check battery voltage. Replace bulbs if needed.,,,
Bike's engine lacks power at high speeds,Engine,Bike,Clean air filter and check fuel delivery system. Adjust carburetor or fuel injection system.,,,
Car's steering wheel vibrates,Steering,Car,Check wheel alignment and tire balance. Inspect suspension components for wear.,,,
Bike's brakes lock up,Brakes,Bike,Check brake calipers and brake lines for blockages. Bleed brake system and replace fluid if needed.,,,
Car's engine runs rough,Engine,Car,Check ignition system and replace spark plugs if necessary. Inspect fuel injectors for clogs.,,,
Bike's suspension bottoms out,Suspension,Bike,Adjust suspension preload and damping settings. Check for worn suspension components.,,,
Car's battery drains quickly,Electrical,Car,Check for parasitic battery drain. Inspect alternator and voltage regulator.,,,
Bike's exhaust emits popping noises,Exhaust System,Bike,Check for exhaust leaks and adjust fuel mixture. Replace exhaust gasket if needed.,,,
Car's brakes pulsate when applied,Brakes,Car,Check brake rotors for warping and brake pads for uneven wear. Resurface or replace brake components as needed.,,,
Bike's handlebars feel loose,Steering,Bike,Tighten handlebar clamp bolts and check for worn bearings.,,,
Car's engine consumes excessive oil,Engine,Car,Check for oil leaks and inspect piston rings for wear. Replace worn components if necessary.,,,
Bike's engine runs hot,Cooling System,Bike,Check coolant level and radiator for blockages. Clean radiator fins and replace coolant if needed.,,,
Car's suspension creaks over bumps,Suspension,Car,Inspect suspension bushings and replace if worn. Lubricate suspension components.,,,
Bike's throttle sticks,Engine,Bike,Check throttle cable for kinks and lubricate throttle tube.,,,
Car's transmission shifts harshly,Transmission,Car,Check transmission fluid level and condition. Replace transmission fluid and adjust shift linkage.,,,
Bike's exhaust emits blue smoke,Exhaust System,Bike,Check for oil leaks and inspect piston rings for wear. Replace worn components if needed.,,,
Car's windshield wipers streak,Wipers,Car,Replace wiper blades and clean windshield with glass cleaner.,,,
Bike's front forks leak oil,Suspension,Bike,Check fork seals for damage and replace if necessary. Refill fork oil to proper level.,,,
Car's engine idles erratically,Engine,Car,Check for vacuum leaks and clean throttle body. Inspect idle air control valve.,,,
Bike's chain tension fluctuates,Maintenance,Bike,Check chain tension and adjust if necessary. Inspect chain tensioner for wear.,,,
Car's exhaust emits rattling noises,Exhaust System,Car,Inspect exhaust system for loose or damaged components. Tighten or replace as needed.,,,
Bike's brakes feel spongy,Brakes,Bike,Bleed brake system and check for air bubbles in brake lines. Replace brake fluid if necessary.,,,
Car's engine revs but vehicle doesn't move,Transmission,Car,Check transmission fluid level and condition. Inspect for worn or damaged transmission components.,,,
Bike's clutch slips,Transmission,Bike,Adjust clutch cable tension and check clutch plates for wear. Replace if necessary.,,,
Car's power windows won't operate,Electrical,Car,Check power window switches and wiring connections. Replace faulty components.,,,
Bike's engine emits white smoke,Engine,Bike,Check coolant level and inspect cylinder head gasket for leaks. Replace gasket if needed.,,,
Car's air conditioning blows warm air,HVAC,Car,Check refrigerant level and compressor operation. Inspect for leaks and recharge system if necessary.,,,
Bike's brakes grab suddenly,Brakes,Bike,Clean brake calipers and replace brake pads if contaminated. Lubricate brake pistons.,,,
Car's engine cranks but won't start,Engine,Car,Check fuel pump and ignition system. Replace spark plugs and fuel filter if necessary.,,,
Bike's chain rattles at high speeds,Maintenance,Bike,Lubricate chain and check for tight spots. Replace chain if worn or damaged.,,,
Car's exhaust emits foul odor,Exhaust System,Car,Inspect catalytic converter for damage or clogs. Replace if necessary.,,,
Bike's engine stalls when accelerating,Engine,Bike,Check fuel delivery system and air intake for blockages. Adjust carburetor or fuel injection system.,,,
My car's brakes squeal when applied,Brakes,Car,Check brake pads and rotors for wear. Lubricate caliper pins and replace brake components if needed.,,,
My bike's chain keeps slipping,Transmission,Bike,Tighten or replace the chain. Check sprockets for wear. Adjust chain tension if needed.,,,
My car's headlights flicker,Electrical,Car,"Check headlight bulbs, fuses, and wiring connections. Replace bulbs if necessary.",,,
My bike's engine won't start,Engine,Bike,"Check fuel supply, spark plug, and battery. Replace or recharge battery if needed.",,,
My car's steering wheel feels loose,Steering,Car,Inspect power steering fluid level and steering linkage. Tighten loose components.,,,
My bike's brakes feel spongy,Brakes,Bike,Bleed brake system and replace brake fluid. Check for air bubbles in brake lines.,,,
My car's transmission slips,Transmission,Car,Check transmission fluid level and condition. Replace worn transmission components.,,,
My bike's engine stalls at idle,Engine,Bike,Adjust idle speed and clean carburetor. Check for air leaks in the intake system.,,,
My car's air conditioning produces foul odor,HVAC,Car,Replace cabin air filter and clean air conditioning evaporator.,,,
My bike's chain stretches quickly,Maintenance,Bike,Replace chain tensioner and adjust chain tension regularly.,,,
My car's brakes feel soft,Brakes,Car,Check brake fluid level and brake lines for leaks. Bleed brake system and replace fluid if needed.,,,
My bike's gears grind when shifting,Transmission,Bike,Adjust gear shift cables and check transmission oil level. Replace worn gear components if necessary.,,,
My car's engine consumes excessive oil,Engine,Car,Check for oil leaks and inspect piston rings for wear. Replace worn components if necessary.,,,
My bike's engine runs hot,Cooling System,Bike,Check coolant level and radiator for blockages. Clean radiator fins and replace coolant if needed.,,,
My car's suspension creaks over bumps,Suspension,Car,Inspect suspension bushings and replace if worn. Lubricate suspension components.,,,
My bike's throttle sticks,Engine,Bike,Check throttle cable for kinks and lubricate throttle tube.,,,
My car's exhaust emits blue smoke,Exhaust System,Car,Check for oil leaks and inspect piston rings for wear. Replace worn components if needed.,,,
My bike's brakes grab suddenly,Brakes,Bike,Clean brake calipers and replace brake pads if contaminated. Lubricate brake pistons.,,,
My car's engine cranks but won't start,Engine,Car,Check fuel pump and ignition system. Replace spark plugs and fuel filter if necessary.,,,
My bike's chain rattles at high speeds,Maintenance,Bike,Lubricate chain and check for tight spots. Replace chain if worn or damaged.,,,
My car's exhaust emits foul odor,Exhaust System,Car,Inspect catalytic converter for damage or clogs. Replace if necessary.,,,
My bike's engine emits white smoke,Engine,Bike,Check coolant level and inspect cylinder head gasket for leaks. Replace gasket if needed.,,,
My car's air conditioning vents blow warm air,HVAC,Car,Check refrigerant level and compressor operation. Inspect for leaks and recharge system if necessary.,,,
My bike's brakes feel loose,Brakes,Bike,Bleed brake system and check for air bubbles in brake lines. Replace brake fluid if necessary.,,,
My car's engine knocks,Engine,Car,Check for low octane fuel and adjust ignition timing. Inspect for carbon buildup and detonation.,,,
My bike's suspension bottoms out,Suspension,Bike,Adjust suspension preload and damping settings. Inspect for worn suspension components.,,,
My car's brakes grind when applied,Brakes,Car,Check brake pads and rotors for wear. Lubricate caliper pins and replace brake components if needed.,,,
My bike's front wheel shakes at high speeds,Steering,Bike,Check wheel alignment and tire balance. Inspect for worn wheel bearings.,,,
My car's engine emits smoke,Engine,Car,Check for oil leaks and inspect engine components for damage. Replace worn gaskets and seals.,,,
I am having rpoblem with my car headlight,Electrical,Car,Check battery voltage and alternator output. Replace faulty bulbs or wiring.,,,
My bike's brakes squeak when applied,Brakes,Bike,Clean brake pads and rotors. Apply brake lubricant.,,,
My car's engine makes clicking noises,Engine,Car,Check for loose belts and inspect engine components for wear.,,,
My bike's chain keeps coming off,Transmission,Bike,Adjust chain tension and inspect chain alignment. Replace worn components.,,,
My car's tires lose air pressure quickly,Tires,Car,Check tire valves and rims for leaks. Repair or replace damaged components.,,,
My bike's engine idles erratically,Engine,Bike,Clean carburetor and check for vacuum leaks. Adjust idle speed if necessary.,,,
My car's brakes pulsate when applied,Brakes,Car,Resurface or replace brake rotors. Check brake calipers and pads for wear.,,,
My bike's exhaust emits black smoke,Exhaust System,Bike,Adjust carburetor or fuel injection system. Inspect air filter for clogs.,,,
My car is having problem with transmission,Transmission,Car,Check transmission fluid level and condition. Replace worn clutch plates if needed.,,,
My bike's engine lacks power,Engine,Bike,Check spark plug and ignition system. Inspect fuel delivery system for clogs.,,,
My car's air conditioning blows warm air,HVAC,Car,Inspect refrigerant level and compressor operation. Recharge refrigerant if low.,,,
My bike's chain rusts quickly,Maintenance,Bike,Clean and lubricate chain regularly. Apply rust prevention spray.,,,
My car's exhaust emits rattling noises,Exhaust System,Car,Check exhaust system for loose or damaged components. Tighten or replace as needed.,,,
My bike's brakes is not working,Brakes,Bike,Bleed brake system and replace brake fluid. Check for air bubbles in brake lines.,,,
My  engine consumes excessive oil,Engine,Car,Check for oil leaks and inspect piston rings for wear. Replace worn components if needed.,,,
My bike's engine is hot,Cooling System,Bike,Check coolant level and inspect radiator for blockages. Clean radiator fins.,,,
My car's suspension feels bouncy,Suspension,Car,Check shock absorbers and struts for leaks. Replace worn suspension components.,,,
I am having problem with bike throttle,Engine,Bike,Lubricate throttle cable and inspect throttle body for debris.,,,
My car's brakes grab suddenly,Brakes,Car,Clean brake rotors and brake pads. Inspect brake lines for blockages.,,,
My bike's chain clicks while pedaling,Transmission,Bike,Lubricate chain and check chain tension. Inspect chainring for wear.,,,
My car's engine misfires,Engine,Car,Check spark plugs and ignition coils. Replace faulty components if needed.,,,
I am having problem with bike brake,Brakes,Bike,Tighten brake caliper bolts and inspect brake pads for wear.,,,
My car's headlights are too dim,Electrical,Car,Check headlight bulbs and wiring connections. Replace bulbs if necessary.,,,
My bike's engine overheats,Cooling System,Bike,Check coolant level and inspect radiator for blockages. Clean radiator fins.,,,
My car's steering wheel shakes,Steering,Car,Check tire balance and wheel alignment. Inspect suspension components for wear.,,,
My bike's exhaust emits white smoke,Exhaust System,Bike,Check coolant level and inspect cylinder head gasket for leaks. Replace gasket if needed.,,,
My car's transmission shifts so roughly,Transmission,Car,Check transmission fluid level and condition. Inspect transmission mounts for wear.,,,
My bike's brakes grind when applied,Brakes,Bike,Inspect brake pads and rotors for wear. Replace worn components.,,,
My car's engine stalls while driving,Engine,Car,Check fuel pump and fuel filter. Inspect ignition system for faults.,,,
My bike's handlebars feel loose,Steering,Bike,Tighten handlebar clamp bolts and inspect handlebar grips for wear.,,,
My car's air conditioning is not cooling,HVAC,Car,Check refrigerant level and compressor operation. Clean or replace cabin air filter.,,,
My bike's brakes pulsate when applied,Brakes,Bike,Resurface brake rotors and inspect brake calipers for faults.,,,
My car's engine runs rough at idle,Engine,Car,Check for vacuum leaks and clean throttle body. Inspect idle air control valve.,,,
My bike's tires wear unevenly,Tires,Bike,Check tire pressure and inspect wheel alignment. Rotate tires regularly.,,,
My car's exhaust emits black smoke,Exhaust System,Car,Check for exhaust leaks and inspect catalytic converter. Replace worn components.,,,
My bike's transmission slips,Transmission,Bike,Check transmission fluid level and condition. Inspect clutch plates for wear.,,,
My car's brakes feel so mushy,Brakes,Car,Bleed brake system and replace brake fluid. Inspect brake lines for leaks.,,,
My bike's engine revs but vehicle doesn't move,Transmission,Bike,Check clutch cable tension and inspect clutch plates for wear. Adjust clutch if necessary.,,,
My car's power windows don't operate,Electrical,Car,Check power window switches and wiring connections. Replace faulty components.,,,
My bike's chain rattles when coasting,Maintenance,Bike,Lubricate chain and check chain tension. Inspect chainring for wear.,,,
My car's dashboard lights flicker,Electrical,Car,Check battery terminals and alternator output. Replace faulty bulbs or wiring.,,,
My bike's engine stalls at low speeds,Engine,Bike,Adjust carburetor idle mixture and clean fuel system. Check for air leaks in intake.,,,
My car's brakes feel stiff,Brakes,Car,Check brake booster and master cylinder for faults. Lubricate brake calipers.,,,
My bike's suspension feels stiff,Suspension,Bike,Adjust suspension preload and damping settings. Inspect suspension bushings for wear.,,,
My car's engine emits a burning smell,Engine,Car,Check for oil leaks and inspect engine components for overheating.,,,
My bike's chain keeps derailing,Transmission,Bike,Check chain tension and alignment. Inspect rear derailleur for damage.,,,
My car's transmission clunks when shifting,Transmission,Car,Check transmission fluid level and condition. Inspect transmission mounts for wear.,,,
My bike's tires lose air pressure,Tires,Bike,Check tire valves and rims for leaks. Repair or replace damaged components.,,,
My car's engine consumes too much fuel,Engine,Car,Check for clogged air filter and inspect fuel injectors. Adjust fuel mixture if needed.,,,
My bike's brakes squeal loudly,Brakes,Bike,Clean brake pads and rotors. Check for glazing on brake pads.,,,
My car's exhaust emits a loud rattling noise,Exhaust System,Car,Check exhaust system for loose or damaged components. Tighten or replace as needed.,,,
My bike's engine idles too high,Engine,Bike,Adjust carburetor idle speed and check throttle cable for sticking.,,,
My car's air conditioning vents blow weak air,HVAC,Car,Check cabin air filter and inspect blower motor for faults. Recharge refrigerant if low.,,,
My bike's suspension is hard,Suspension,Bike,Adjust suspension preload and damping settings. Inspect for worn suspension components.,,,
My car's engine overheats in traffic,Cooling System,Car,Check radiator for blockages and inspect cooling fans for faults.,,,
My bike's brakes feel grabby,Brakes,Bike,Clean brake calipers and replace brake pads if contaminated. Inspect brake lines for blockages.,,,
My car's engine produces a knocking sound,Engine,Car,Check for low-quality fuel and adjust ignition timing. Inspect for carbon buildup.,,,
My bike's brakes feel spongy when wet,Brakes,Bike,Replace brake pads with ones designed for wet conditions. Ensure proper brake fluid level.,,,
My car's headlights are misaligned,Electrical,Car,Adjust headlight alignment to ensure proper illumination without dazzling other drivers.,,,
My bike's engine emits excessive exhaust smoke,Engine,Bike,Check for worn piston rings and valve seals. Replace if necessary. Adjust carburetor settings.,,,
My car's transmission is slow to engage,Transmission,Car,Check transmission fluid level and condition. Inspect for worn clutch discs.,,,
My bike's chain is loose and fall off,Maintenance,Bike,Adjust chain tension to manufacturer's specifications. Replace chain if excessively worn.,,,
My car's air conditioning compressor is making strange noise,HVAC,Car,Inspect compressor for damaged bearings or faulty components. Replace if necessary.,,,
My bike's engine emits a burning smell when start,Engine,Bike,Check for oil leaks and inspect exhaust system for leaks or clogs. Replace worn gaskets.,,,
My car's brakes squeak intermittently and unevenly,Brakes,Car,Clean brake pads and rotors. Apply anti-squeal lubricant to brake components.,,,
My bike's gears shift roughly,Transmission,Bike,Check gear shift cables for fraying or damage. Adjust cable tension and lubricate shift mechanism.,,,
My car's engine idles inconsistently,Engine,Car,Inspect idle control valve and throttle body for carbon buildup. Clean or replace if necessary.,,,
My bike's handlebars feel not steady and makes vibration,Steering,Bike,Check handlebar clamp bolts and stem for tightness. Inspect headset bearings for wear.,,,
My car's exhaust emits a unpleasant odor,Exhaust System,Car,Check for exhaust leaks and inspect catalytic converter for efficiency. Replace if necessary.,,,
My bike's suspension feels too soft and uneasy,Suspension,Bike,Adjust suspension preload and damping settings to increase stiffness. Inspect for worn shock components.,,,
My car's battery drains ,Electrical,Car,Check for parasitic battery drain caused by faulty wiring or components. Test alternator output.,,,
My bike's brakes require excessive force to apply,Brakes,Bike,Bleed brake system to remove air bubbles. Check for brake pad contamination and replace if necessary.,,,
My car's engine struggles to start and makes noise,Engine,Car,Check fuel delivery system for clogs or fuel pump failure. Test ignition system components.,,,
My bike's chain is rusty,Maintenance,Bike,Clean and lubricate chain regularly. Use a rust inhibitor to prevent further corrosion.,,,
My car's steering feels heavy and shaky,Steering,Car,Check power steering fluid level and inspect for leaks in the power steering system.,,,
My bike's brakes feel spongey,Brakes,Bike,Bleed brake system and replace brake fluid. Inspect brake lines for leaks.,,,
My car's engine emits a hissing sound,Engine,Car,Check for vacuum leaks in the intake manifold or hoses. Inspect for cracked or loose components.,,,
My bike's transmission grinds when shifting,Transmission,Bike,Check gear shift mechanism for damage or misalignment. Adjust clutch cable tension.,,,
My car's air conditioning  blow warm air,HVAC,Car,Check refrigerant level and compressor operation. Inspect for leaks and recharge system if necessary.,,,
My bike's chain keeps falling,Transmission,Bike,Check chain tension and lubrication. Inspect chainring and cassette for wear.,,,
My car's headlights flicker intermittently,Electrical,Car,Check headlight wiring harness for loose connections. Inspect headlight bulbs for signs of wear.,,,
My bike's engine stalls when decelerating,Engine,Bike,Check carburetor settings and fuel mixture. Inspect for air leaks in the intake system.,,,
My car's brakes is stuck,Brakes,Car,Check brake fluid level and brake lines for leaks. Bleed brake system and replace fluid if needed.,,,
My bike's gears slip,Transmission,Bike,Check gear shift mechanism for wear or misalignment. Adjust cable tension and lubricate components.,,,
My car's exhaust emits a strange noise,Exhaust System,Car,Inspect exhaust system for loose or damaged components. Tighten or replace as needed.,,,
My bike's brakes squeal when wet,Brakes,Bike,Clean brake pads and rotors with brake cleaner. Apply anti-squeal lubricant to brake components.,,,
My car's engine misfires at high speeds,Engine,Car,Check ignition system components for wear or damage. Inspect spark plugs and ignition coils.,,,
My bike's suspension is making noise,Suspension,Bike,Adjust suspension preload and damping settings. Inspect for worn suspension components.,,,
My car's transmission is not functioning,Transmission,Car,Check transmission fluid level and condition. Inspect for worn clutch discs.,,,
My bike's brakes feel strange,Brakes,Bike,Bleed brake system and replace brake fluid. Check for air bubbles in brake lines.,,,
My car's engine overheats,Cooling System,Car,Check coolant level and inspect radiator for blockages. Replace coolant if necessary.,,,
My bike's handlebars feel shaking,Steering,Bike,Tighten handlebar clamp bolts and inspect for worn handlebar grips.,,,
My car's air conditioning is not cooling car,HVAC,Car,Check refrigerant level and inspect compressor for faults. Recharge refrigerant if low.,,,
My bike's brakes feel hard,Brakes,Bike,Clean brake pads and rotors with brake cleaner. Check for glazing on brake pads.,,,
My car's transmission makes a whining noise,Transmission,Car,Check transmission fluid level and condition. Inspect for worn bearings or gears.,,,
My bike's engine makes a ticking sound,Engine,Bike,Check valve clearance and inspect cam chain tension. Adjust if necessary.,,,
My car's brakes makes noise when applied,Brakes,Car,Resurface or replace brake rotors. Check brake calipers and pads for wear.,,,
My bike's exhaust emits blue smoke,Exhaust System,Bike,Adjust carburetor or fuel injection system. Inspect air filter for clogs.,,,
My car's engine is inconsistent,Engine,Car,Inspect idle control valve and throttle body for carbon buildup. Clean or replace if necessary.,,,
My bike's handlebars is not steady,Steering,Bike,Check,,,
My car's brakes feel mushy,Brakes,Car,Bleed brake system and replace brake fluid. Inspect brake lines for leaks.,,,
My bike's engine emits black smoke,Engine,Bike,Adjust carburetor or fuel injection system. Check air filter for clogs.,,,
My car's steering wheel vibrates,Steering,Car,Inspect tire balance and wheel alignment. Check for worn suspension components.,,,
My bike's brakes feel stiff,Brakes,Bike,Clean brake calipers and replace brake pads if contaminated. Inspect brake lines for blockages.,,,
My car's transmission jerks when shifting,Transmission,Car,Check transmission fluid level and condition. Inspect for worn transmission mounts.,,,
My bike's engine is heating,Cooling System,Bike,Check coolant level and inspect radiator for blockages. Clean radiator fins if needed.,,,
My car's exhaust emits a burning smell,Exhaust System,Car,Check for exhaust leaks and inspect catalytic converter. Replace worn components.,,,
My bike's suspension feels bouncy,Suspension,Bike,Inspect shock absorbers for leaks. Adjust suspension preload if necessary.,,,
My car's engine idles too high,Engine,Car,Check for vacuum leaks in the intake manifold. Clean throttle body if necessary.,,,
My bike's tires are uneven,Tires,Bike,Check tire pressure and inspect wheel alignment. Rotate tires regularly for even wear.,,,
My car's air conditioning is not fucntioning,HVAC,Car,Check refrigerant level and inspect compressor for faults. Recharge refrigerant if low.,,,
My bike's brakes makes noise loudly,Brakes,Bike,Clean brake pads and rotors. Apply anti-squeal compound to the back of brake pads.,,,
My car's transmission slips between gears when applied,Transmission,Car,Check transmission fluid level and condition. Inspect for worn clutch plates.,,,
My bike's engine emits a clicking sound,Engine,Bike,Check valve clearance and camshaft lobes. Adjust valve clearance if necessary.,,,
